Index,Hz,Amp
1029,1491.623000,45.599610
1030,1493.073000,44.267190
1031,1494.522000,45.456600
1032,1495.972000,43.662030
1033,1497.421000,44.061150
1034,1498.871000,43.087890
1035,1500.320000,44.741060
1036,1501.770000,47.274800
1037,1503.220000,47.362500
1038,1504.669000,49.210910
1039,1506.119000,52.144040
1040,1507.568000,53.492210
1041,1509.018000,53.325880
1042,1510.468000,55.127100
1043,1511.917000,54.908510
1044,1513.367000,55.280800
1045,1514.816000,51.181580
1046,1516.266000,50.734650
1047,1517.715000,53.285660
1048,1519.165000,55.361460
1049,1520.615000,53.448750
1050,1522.064000,53.378890
1051,1523.514000,53.545120
1052,1524.963000,48.038600
1053,1526.413000,46.080680
1054,1527.863000,44.817580
1055,1529.312000,43.105330
1056,1530.762000,42.168790
1057,1532.211000,41.956610
1058,1533.661000,45.648670
1059,1535.110000,45.965140
1060,1536.560000,46.470440
1061,1538.010000,48.819360
1062,1539.459000,49.649430
1063,1540.909000,51.441790
1064,1542.358000,52.328830
1065,1543.808000,51.872730
1066,1545.258000,54.815920
1067,1546.707000,54.705750
1068,1548.157000,51.895060
1069,1549.606000,52.798270
1070,1551.056000,58.790160
1071,1552.505000,58.753330
1072,1553.955000,55.304120
1073,1555.405000,58.860680
1074,1556.854000,59.551810
1075,1558.304000,57.154380
1076,1559.753000,57.138920
1077,1561.203000,59.092510
1078,1562.653000,59.641860
1079,1564.102000,59.950390
1080,1565.552000,58.661280
1081,1567.001000,59.045250
1082,1568.451000,56.969100
1083,1569.901000,56.534720
1084,1571.350000,54.082570
1085,1572.800000,53.422650
1086,1574.249000,52.606290
1087,1575.699000,49.944370
1088,1577.148000,49.192620
1089,1578.598000,46.198540
1090,1580.048000,47.732520
1091,1581.497000,47.761280
1092,1582.947000,44.445090
1093,1584.396000,42.920830
1094,1585.846000,40.992800
1095,1587.296000,40.880650
1096,1588.745000,39.988460
1097,1590.195000,41.406360
1098,1591.644000,41.888760
1099,1593.094000,41.457630
1100,1594.543000,41.838640
1101,1595.993000,40.093470
1102,1597.443000,40.720940
1103,1598.892000,40.988350
1104,1600.342000,42.124160
1105,1601.791000,39.557660
1106,1603.241000,40.390300
1107,1604.691000,42.666660
1108,1606.140000,40.435150
1109,1607.590000,39.552410
1110,1609.039000,41.248980
1111,1610.489000,44.487420
